date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:16:15	34204/34204	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:13%20GMT	https://www.cnblogs.com/xinxianquan/p/10732914.html	www.cnblogs.com/xinxianquan/p/10732914.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:15	9195/9195	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:14%20GMT	https://www.cnblogs.com/xinxianquan/archive/2019/04/28.html	www.cnblogs.com/xinxianquan/archive/2019/04/28.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:17	27867/27867	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:15%20GMT	https://www.cnblogs.com/xinxianquan/p/10786899.html	www.cnblogs.com/xinxianquan/p/10786899.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:18	16671/16671	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:16%20GMT	https://www.cnblogs.com/xinxianquan/p/10784626.html	www.cnblogs.com/xinxianquan/p/10784626.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:18	8168/8168	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:17%20GMT	https://www.cnblogs.com/xinxianquan/archive/2019/04/26.html	www.cnblogs.com/xinxianquan/archive/2019/04/26.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:19	13089/13089	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:18%20GMT	https://www.cnblogs.com/xinxianquan/p/10773099.html	www.cnblogs.com/xinxianquan/p/10773099.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:20	7980/7980	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:19%20GMT	https://www.cnblogs.com/xinxianquan/archive/2019/04/23.html	www.cnblogs.com/xinxianquan/archive/2019/04/23.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:22	34637/34637	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:20%20GMT	https://www.cnblogs.com/xinxianquan/p/10750784.html	www.cnblogs.com/xinxianquan/p/10750784.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:22	8229/8229	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:21%20GMT	https://www.cnblogs.com/xinxianquan/archive/2019/04/20.html	www.cnblogs.com/xinxianquan/archive/2019/04/20.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:24	29121/29121	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:22%20GMT	https://www.cnblogs.com/xinxianquan/p/10741759.html	www.cnblogs.com/xinxianquan/p/10741759.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:24	8897/8897	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:23%20GMT	https://www.cnblogs.com/xinxianquan/archive/2019/04/19.html	www.cnblogs.com/xinxianquan/archive/2019/04/19.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:24	9369/9369	---M--	302	error ('Found')	text/html	date:Sun,%2009%20Jun%202019%2001:16:24%20GMT	https://www.cnblogs.com/xinxianquan/p/10736398.html	www.cnblogs.com/xinxianquan/p/10736398.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:25	9369/9369	---M--	302	error ('Found')	text/html	date:Sun,%2009%20Jun%202019%2001:16:25%20GMT	https://www.cnblogs.com/xinxianquan/p/10736398.html	www.cnblogs.com/xinxianquan/p/10736398.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:27	12262/12262	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:26%20GMT	https://www.cnblogs.com/xinxianquan/p/10735546.html	www.cnblogs.com/xinxianquan/p/10735546.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:28	8184/8184	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:27%20GMT	https://www.cnblogs.com/xinxianquan/archive/2019/04/17.html	www.cnblogs.com/xinxianquan/archive/2019/04/17.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:30	8150/8150	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:29%20GMT	https://www.cnblogs.com/xinxianquan/archive/2019/04/16.html	www.cnblogs.com/xinxianquan/archive/2019/04/16.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:32	8048/8048	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:31%20GMT	https://www.cnblogs.com/xinxianquan/archive/2019/04/15.html	www.cnblogs.com/xinxianquan/archive/2019/04/15.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:34	15305/15305	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:32%20GMT	https://www.cnblogs.com/xinxianquan/p/10713471.html	www.cnblogs.com/xinxianquan/p/10713471.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:34	8197/8197	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:33%20GMT	https://www.cnblogs.com/xinxianquan/archive/2019/04/12.html	www.cnblogs.com/xinxianquan/archive/2019/04/12.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:36	7732/7732	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:35%20GMT	https://www.cnblogs.com/xinxianquan/archive/2019/04/11.html	www.cnblogs.com/xinxianquan/archive/2019/04/11.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:36	9327/9327	---M--	302	error ('Found')	text/html	date:Sun,%2009%20Jun%202019%2001:16:36%20GMT	https://www.cnblogs.com/xinxianquan/p/10669061.html	www.cnblogs.com/xinxianquan/p/10669061.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:37	318772/318772	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:30%20GMT	https://www.cnblogs.com/xinxianquan/p/10717283.html	www.cnblogs.com/xinxianquan/p/10717283.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:37	183162/183162	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:34%20GMT	https://www.cnblogs.com/xinxianquan/p/10699336.html	www.cnblogs.com/xinxianquan/p/10699336.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:38	8209/8209	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:37%20GMT	https://www.cnblogs.com/xinxianquan/archive/2019/04/07.html	www.cnblogs.com/xinxianquan/archive/2019/04/07.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:39	20702/20702	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:38%20GMT	https://www.cnblogs.com/xinxianquan/p/10663756.html	www.cnblogs.com/xinxianquan/p/10663756.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:40	9114/9114	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:39%20GMT	https://www.cnblogs.com/xinxianquan/archive/2019/04/05.html	www.cnblogs.com/xinxianquan/archive/2019/04/05.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:41	14186/14186	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:40%20GMT	https://www.cnblogs.com/xinxianquan/p/10660214.html	www.cnblogs.com/xinxianquan/p/10660214.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:42	19576/19576	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:41%20GMT	https://www.cnblogs.com/xinxianquan/p/10581911.html	www.cnblogs.com/xinxianquan/p/10581911.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:43	8068/8068	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:42%20GMT	https://www.cnblogs.com/xinxianquan/archive/2019/03/31.html	www.cnblogs.com/xinxianquan/archive/2019/03/31.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:44	11558/11558	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:43%20GMT	https://www.cnblogs.com/xinxianquan/p/10632188.html	www.cnblogs.com/xinxianquan/p/10632188.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:45	8144/8144	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:44%20GMT	https://www.cnblogs.com/xinxianquan/archive/2019/03/22.html	www.cnblogs.com/xinxianquan/archive/2019/03/22.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:46	13193/13193	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:45%20GMT	https://www.cnblogs.com/xinxianquan/p/10579064.html	www.cnblogs.com/xinxianquan/p/10579064.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:47	8107/8107	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:46%20GMT	https://www.cnblogs.com/xinxianquan/archive/2019/03/20.html	www.cnblogs.com/xinxianquan/archive/2019/03/20.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:48	14441/14441	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:47%20GMT	https://www.cnblogs.com/xinxianquan/p/10538420.html	www.cnblogs.com/xinxianquan/p/10538420.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:49	158/158	---MC-	302	error ('Found')	text/html	date:Sun,%2009%20Jun%202019%2001:16:49%20GMT	https://www.cnblogs.com/xinxianquan/rss	www.cnblogs.com/xinxianquan/rss	(from https://www.cnblogs.com/xinxianquan/archive/2019/06/08.html)
09:16:50	49844/49844	---MCZ	200	added ('OK')	text/html	date:Sun,%2009%20Jun%202019%2001:16:48%20GMT	https://www.cnblogs.com/xinxianquan/default.html?page=2	www.cnblogs.com/xinxianquan/default4658.html	(from https://www.cnblogs.com/xinxianquan/)
09:16:50	158/158	---MC-	302	error ('Found')	text/html	date:Sun,%2009%20Jun%202019%2001:16:50%20GMT	https://www.cnblogs.com/xinxianquan/rss	www.cnblogs.com/xinxianquan/rss	(from https://www.cnblogs.com/xinxianquan/archive/2019/06/08.html)
09:16:51	158/158	---MC-	302	error ('Found')	text/html	date:Sun,%2009%20Jun%202019%2001:16:51%20GMT	https://www.cnblogs.com/xinxianquan/rss	www.cnblogs.com/xinxianquan/rss	(from https://www.cnblogs.com/xinxianquan/p/10989828.html)
09:16:52	158/158	---MC-	302	error ('Found')	text/html	date:Sun,%2009%20Jun%202019%2001:16:52%20GMT	https://www.cnblogs.com/xinxianquan/rss	www.cnblogs.com/xinxianquan/rss	(from https://www.cnblogs.com/xinxianquan/p/10989828.html)
09:16:53	158/158	---MC-	302	error ('Found')	text/html	date:Sun,%2009%20Jun%202019%2001:16:53%20GMT	https://www.cnblogs.com/xinxianquan/rss	www.cnblogs.com/xinxianquan/rss	(from https://www.cnblogs.com/xinxianquan/archive/2019/06/05.html)
09:16:54	158/158	---MC-	302	error ('Found')	text/html	date:Sun,%2009%20Jun%202019%2001:16:54%20GMT	https://www.cnblogs.com/xinxianquan/rss	www.cnblogs.com/xinxianquan/rss	(from https://www.cnblogs.com/xinxianquan/archive/2019/06/05.html)
09:16:55	158/158	---MC-	302	error ('Found')	text/html	date:Sun,%2009%20Jun%202019%2001:16:55%20GMT	https://www.cnblogs.com/xinxianquan/rss	www.cnblogs.com/xinxianquan/rss	(from https://www.cnblogs.com/xinxianquan/p/10980174.html)
